GRUPO,FAMILIA,ESP,ESPECIE,AUTOR,NOMBREE,NOMBREI,A,B,LINF,K,T0,MED,INCREM,NODC,GT,APHIA
1,Sciaenidae,166,Umbrina cirrosa,"(Linnaeus, 1758)",Corvallo,Shi drum,0.000000,0.000000,0.00,0.00,0.00,1,1,8835441108,6,127012
1,Clupeidae,167,Sardinella aurita,"Valenciennes, 1847",Alacha,Round sardinella,0.000000,0.000000,0.00,0.00,0.00,1,1,8747011001,14,126422
1,Batrachoididae,168,Halobatrachus didactylus,"(Bloch & Schneider, 1801)",Pez sapo,Toadfish,0.000000,0.000000,0.00,0.00,0.00,1,1,8783010403,6,126374
1,Haemulidae,169,Plectorhinchus mediterraneus,"(Guichenot, 1850)",Burro,Rubber-lip grunt,0.000000,0.000000,0.00,0.00,0.00,1,1,8835361121,6,126946
1,Soleidae,170,Pegusa impar,"(Bennett, 1831)",Lenguado,Adriatic sole,0.000000,0.000000,0.00,0.00,0.00,1,1,8858010612,9,236490
1,Soleidae,171,Dicologlossa hexophthalma,"(Bennett, 1831)",Acedia moteada,Six-eyed sole,0.000000,0.000000,0.00,0.00,0.00,1,1,8858012102,9,274298
1,Sparidae,172,Diplodus puntazzo,"(Walbaum, 1792)",Sargo picudo,Sharpsnout sea bream,0.000000,0.000000,0.00,0.00,0.00,1,1,8835431701,6,127052
1,Haemulidae,173,Parapristipoma octolineatum,"(Valenciennes, 1833)",Burro listado,African striped grun,0.000000,0.000000,0.00,0.00,0.00,1,1,8835401402,11,126945
1,Labridae,174,Coris julis,"(Linnaeus, 1758)",Julia,Rainbow wrasse,0.000000,0.000000,0.00,0.00,0.00,1,1,8839012306,11,126963
1,Labridae,175,Symphodus bailloni,"(Valenciennes, 1839)",Porredano,,0.000000,0.000000,0.00,0.00,0.00,1,1,8839013308,6,273566
1,Soleidae,176,Microchirus azevia,"(de Brito Capello, 1867)",Acedía oscura,Bastard sole,0.000000,0.000000,0.00,0.00,0.00,1,1,8858010902,9,274299
1,Sparidae,177,Pagrus auriga,"Valenciennes, 1843",Pargo sémola,Red-banded sea bream,0.000000,0.000000,0.00,0.00,0.00,1,1,8835430603,6,127061
1,Sparidae,178,Dentex canariensis,"Steindachner, 1881",Chacarona sureña,Canary dentex,0.000000,0.000000,0.00,0.00,0.00,1,1,8835431004,6,273960
1,Labridae,180,Labrus bergylta,"Ascanius, 1767",Maragota,Ballan wrasse,0.011900,3.115100,0.00,0.00,0.00,1,1,8839013603,6,126965
1,Gobiidae,181,Pomatoschistus norvegicus,"(Collett, 1902)",Gobio noruego,Norwegian goby,0.000000,0.000000,0.00,0.00,0.00,1,1,8847015104,9,126929
1,Synaphobranchidae,182,Synaphobranchus kaupii,"Johnson, 1862",Sinaphobranchus,Kaups arrowtooth eel,0.000660,3.110000,0.00,0.00,0.00,1,1,8741150104,9,126328
1,MYCTOPHIDAE,183,Myctophidae,,Pez linterna,Lantern fishes,0.000000,0.000000,0.00,0.00,0.00,1,1,8762140000,11,125498
1,Moridae,184,Lepidion lepidion,"(Risso, 1810)",Lepidion,,0.001800,3.307300,0.00,0.00,0.00,1,1,8791010501,11,126495
1,Labridae,185,Symphodus melops,"(Linnaeus, 1758)",Porredano,Corkwing,0.000000,0.000000,0.00,0.00,0.00,1,1,8839013301,6,273571
1,Bothidae,186,Arnoglossus thori,"Kyle, 1913",Peluda,Spotted scaldfish,0.020700,2.700500,0.00,0.00,0.00,1,1,8857031706,9,127128
1,Myctophidae,187,Lampadena,,Lampadena,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762141200,11,125824
1,Anguillidae,188,Anguilla anguilla,"(Linnaeus, 1758)",Anguila,European eel,0.000000,0.000000,0.00,0.00,0.00,1,1,8741010102,6,126281
1,Sternoptychidae,189,Argyropelecus gigas,"Norman, 1930",Pez hacha gigante,Hatchet fish,0.000000,0.000000,0.00,0.00,0.00,1,1,8759020105,11,127308
1,Callionymidae,190,Callionymus reticulatus,"Valenciennes, 1837",Dragoncillo reticul.,Reticulate dragonet,0.000000,0.000000,0.00,0.00,0.00,1,1,8846010120,9,126795
1,Myctophidae,191,Electrona risso,"(Cocco, 1829)",Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762141801,11,126600
1,Moridae,192,Halargyreus johnsonii,"G³nther, 1862",Halargyreus,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791010601,11,126489
1,Trachichthyidae,193,Hoplostethus atlanticus,"Collett, 1889",Reloj del atlántico,Orange rough-fish,2.300000,0.000000,0.00,0.00,0.00,1,1,8810020201,6,126402
1,Nemichthyidae,194,Nemichthys scolopaceus,"Richardson, 1848",Nemichtis,Snipe eel,0.000000,0.000000,0.00,0.00,0.00,1,1,8741210202,11,126306
1,Macrouridae,195,Nezumia sclerorhynchus,"(Valenciennes, 1838)","Granadero, rata",Roughtip grenadier,0.000000,0.000000,0.00,0.00,0.00,2,5,8794010805,11,126475
1,Sciaenidae,196,Sciaena umbra,"Linnaeus, 1758",Corvina,Brown meagre,0.000000,0.000000,0.00,0.00,0.00,1,1,8835441404,6,127010
1,SCOMBERESOCIDAE,197,Scomberesox saurus saurus,"(Walbaum, 1792)",Paparda,Saurey pike,0.001500,3.193400,0.00,0.00,0.00,1,1,8803030201,14,236461
1,Labridae,198,Centrolabrus exoletus,"(Linnaeus, 1758)",Porredano,Small-mouthed wrasse,0.003300,3.310000,0.00,0.00,0.00,1,1,8839013401,6,126961
1,Labridae,199,Ctenolabrus rupestris,"(Linnaeus, 1758)",Tabernero,Goldsinny,0.000000,0.000000,0.00,0.00,0.00,1,1,8839013501,6,126964
1,Carcharhinidae,200,Prionace glauca,"(Linnaeus, 1758)","Tintorera, caila",Blue shark,0.000000,0.000000,0.00,0.00,0.00,1,1,8708020601,1,105801
1,Myctophidae,201,Diaphus,,Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762140200,11,125819
1,Centrolophidae,202,Schedophilus medusophagus,"(Cocco, 1839)",Rufo,Cornish blackfish,0.000000,0.000000,0.00,0.00,0.00,1,1,8851030401,6,126833
1,Alepocephalidae,203,Alepocephalus bairdii,"Goode & Bean, 1879",Alepocefalo,Baird's smooth head,0.000000,0.000000,0.00,0.00,0.00,1,1,8760010305,11,126682
1,Centrolophidae,204,Centrolophus niger,"(Gmelin, 1789)",Romerillo,Blackfish,0.002400,3.345900,0.00,0.00,0.00,1,1,8851010301,6,126831
1,SEBASTIDAE,205,Trachyscorpia cristulata echinata,"(Koehler, 1896)",Cabracho de profund.,Scorpion fish,0.001000,3.040000,0.00,0.00,0.00,1,1,8826011101,9,293754
1,Ophidiidae,206,Ophidion barbatum,"Linnaeus, 1758",Ophidion,Snake bleeny,0.000000,0.000000,0.00,0.00,0.00,1,1,8792010607,11,126675
1,Scophthalmidae,207,Phrynorhombus norvegicus,"(G³nther, 1862)",Limanda noruega,Norwegian topknot,0.000020,2.904900,0.00,0.00,0.00,1,1,8857032201,9,127147
1,Etmopteridae,208,Etmopterus pusillus,"(Lowe, 1839)",Negrito,Smooth lanternshark,0.000000,0.000000,0.00,0.00,0.00,1,1,8710010504,7,105912
1,Carangidae,209,Seriola dumerili,"(Risso, 1810)",Seriola,Yellow tail,0.000000,0.000000,0.00,0.00,0.00,1,1,8835280801,6,126816
1,Myctophidae,211,Myctophum punctatum,"Rafinesque, 1810",Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762141504,11,126627
1,Gobiidae,212,Pomatoschistus microps,"(Kr°yer, 1838)",Gobio,Common goby,0.000000,0.000000,0.00,0.00,0.00,1,1,8847015103,9,126927
1,Balistidae,213,Balistes capriscus,"Gmelin, 1789",Pez ballesta,Trigger fish,0.012400,3.089000,0.00,0.00,0.00,1,1,8860020205,6,154721
1,Mugilidae,214,Mugil cephalus,"Linnaeus, 1758",Pardete,Grey mullet,0.014800,2.903400,0.00,0.00,0.00,1,1,8836010101,6,126983
1,Ammodytidae,215,Hyperoplus lanceolatus,"(Le Sauvage, 1824)",Lanzon,Great sand eel,0.000000,0.000000,0.00,0.00,0.00,1,1,8845010301,11,126756
1,Mugilidae,216,Liza ramada,"(Risso, 1827)",Morragute,Thin-lipped mullet,0.000000,0.000000,0.00,0.00,0.00,1,1,8836010901,6,126980
1,Moronidae,217,Dicentrarchus punctatus,"(Bloch, 1792)",Baila,Spotted seabass,0.000000,0.000000,0.00,0.00,0.00,1,1,8835750102,6,126976
1,Argentinidae,218,Argentina silus,"(Ascanius, 1775)",Argentina,Greater silver smelt,0.006200,3.021900,0.00,0.00,0.00,1,1,8756010203,11,126715
1,Petromyzontidae,219,Petromyzon marinus,"Linnaeus, 1758",Lamprea,Sea lamprey,0.000000,0.000000,0.00,0.00,0.00,1,1,8603010301,6,101174
1,Parazenidae,220,Cyttopsis rosea,"(Lowe, 1843)",Cyttopsis,Red dory,0.000000,0.000000,0.00,0.00,0.00,1,1,8811030101,6,127425
1,Lotidae,221,Gaidropsarus mediterraneus,"(Linnaeus, 1758)",Bertorella,Shore rockling,0.000000,0.000000,0.00,0.00,0.00,1,1,8791032002,6,126457
1,Lotidae,222,Enchelyopus cimbrius,"(Linnaeus, 1766)",Rhinonemus,Four-bearded rocklin,0.003500,3.106000,0.00,0.00,0.00,1,1,8791031501,11,126450
1,Gadidae,223,Raniceps raninus,"(Linnaeus, 1758)",Reinúnculo negro,Tadpole fish,0.000000,0.000000,0.00,0.00,0.00,1,1,8791032301,11,126442
1,Chaunacidae,224,Chaunax pictus,"Lowe, 1846",Benito,,0.000000,0.000000,0.00,0.00,0.00,1,1,8787030101,6,126539
1,Carangidae,225,Trachurus picturatus,"(Bowdich, 1825)",Jurel,Blue jack mackerel,0.000000,0.000000,0.00,0.00,0.00,1,1,8835280106,12,126821
1,Triakidae,226,Mustelus mustelus,"(Linnaeus, 1758)",Musola,Smoothhound,0.000000,0.000000,0.00,0.00,0.00,1,1,8708020409,7,105822
1,Pleuronectidae,227,Microstomus kitt,"(Walbaum, 1792)",Mendo limón,Lemon sole,0.007600,3.142000,0.00,0.00,0.00,1,1,8857041202,9,127140
1,Macrouridae,228,Hymenocephalus italicus,"Giglioli, 1884",Granadero,Italian grenader,0.000000,0.000000,0.00,0.00,0.00,2,5,8794011101,11,158961
1,Belonidae,229,Belone belone,"(Linnaeus, 1761)",Aguja,Garfish,0.000700,3.122000,0.00,0.00,0.00,1,1,8803020502,14,126375
1,Lotidae,230,Ciliata mustela,"(Linnaeus, 1758)",Barbada,Five bear cockling,0.006400,3.000000,0.00,0.00,0.00,1,1,8791032401,11,126448
1,Platytroctidae,231,Holtbyrnia macrops,"Maul, 1957",Big eye seasird,,0.021231,0.000000,0.00,0.00,0.00,1,1,8756040101,11,126740
1,Gempylidae,232,Nesiarchus nasutus,"Johnson, 1862",Pes espada picudo,,0.000000,0.000000,0.00,0.00,0.00,1,1,8850010701,11,126865
1,Phosichthyidae,233,Polymetme corythaeola,"(Alcock, 1898)",Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8759010701,11,127300
1,Moridae,234,Gadella maraldi,"(Risso, 1810)",Gadella,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791010801,6,126488
1,,235,Larva leptocefala,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,,11,125425
1,Halosauridae,236,Aldrovandia phalacra,"(Vaillant, 1888)",Aldrovandia,,0.000000,0.000000,0.00,0.00,0.00,1,1,8743010103,6,126638
1,Lamnidae,237,Isurus oxyrinchus,"Rafinesque, 1810",Marrajo,Shortfin mako,0.000000,0.000000,0.00,0.00,0.00,1,1,8707040501,7,105839
1,Epigonidae,238,Epigonus denticulatus,"Dieuzeide, 1950",Epigonus,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835180406,11,126857
1,Moridae,239,Lepidion,,Lepidion,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791010500,11,125768
1,Bramidae,240,Brama brama,"(Bonnaterre, 1788)",Palometa,,0.001100,3.609000,0.00,0.00,0.00,1,1,8835710102,0,126783
1,Echeneidae,241,Remora remora,"(Linnaeus, 1758)",Rémora,Remora,0.000000,0.000000,0.00,0.00,0.00,1,1,8835270103,0,126853
1,Xiphiidae,242,Xiphias gladius,"Linnaeus, 1758",Pez espada,Sword fish,0.003800,3.150000,0.00,0.00,0.00,1,1,8850040101,1,127094
1,Gobiidae,243,Pomatoschistus,,Chaparrudo,,0.000000,0.000000,0.00,0.00,0.00,1,1,8847015100,0,125999
1,Epigonidae,244,Epigonus telescopus,"(Risso, 1810)",Epigonus,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835180403,0,126858
1,PLEURONECTIDAE,245,Hippoglossoides platessoides,"(Fabricius, 1780)",Platija americana,Long rough dab,0.000000,0.000000,0.00,0.00,0.00,1,1,8857040603,0,127137
1,Syngnathidae,246,Entelurus aequoreus,"(Linnaeus, 1758)",Entelurus,Snake pipefish,0.000000,0.000000,0.00,0.00,0.00,1,1,8820022101,0,127379
1,Macrouridae,247,Coryphaenoides rupestris,"Gunnerus, 1765",Granadero chato,Roundnose grenadier,0.000000,0.000000,0.00,0.00,0.00,2,5,8794010117,0,158960
1,Rajidae,249,Dipturus batis,"(Linnaeus, 1758)",Noriega,Skate,0.010800,3.079000,0.00,0.00,0.00,1,1,8713040143,0,105869
1,Rajidae,250,Dipturus oxyrinchus,"(Linnaeus, 1758)",Picón,Longnosed skate,0.000500,3.539000,0.00,0.00,0.00,1,1,8713040145,0,105872
1,SCORPAENIDAE,251,Sebastes viviparus,"Kroyer, 1845",Gallineta,Small redfish,0.000000,0.000000,0.00,0.00,0.00,1,1,8826010175,0,127255
1,Chimaeridae,252,Hydrolagus mirabilis,"(Collett, 1904)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8716020103,0,105826
1,Tetraodontidae,253,Sphoeroides pachygaster,"(M³ller & Troschel, 1848)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127417
1,GOBIIDAE,254,Gobiidae,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,125537
1,Phosichthyidae,255,Ichthyococcus ovatus,"(Cocco, 1838)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127298
1,Zeidae,256,Zenopsis conchifer,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127426
1,Serrivomeridae,257,Serrivomer beanii,"Gill & Ryder, 1883",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8741200102,0,126319
1,DALATIIDAE,258,Centroscymnus crepidater,"(Bocage & Capello, 1864)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8710011202,0,105908
1,Rajidae,259,Rajella fyllae,"(L³tken, 1887)",Raya,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,105894
1,Stomiidae,260,Chauliodus sloani,"Bloch & Schneider, 1801",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8759060103,0,127338
1,Derichthyidae,261,Nessorhamphus ingolfianus,"(Schmidt, 1912)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8741110101,0,126292
1,Myctophidae,262,Lampanyctus,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,87621403,0,125825
1,Bythitidae,263,Cataetyx alleni,"(Byrne, 1906)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8792011302,0,126656
1,Gonostomatidae,264,Sigmops bathyphilus,"(Vaillant, 1884)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8759010402,0,398363
1,Halosauridae,265,Halosaurus ovenii,"Johnson, 1864",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126641
1,Ipnopidae,266,Bathypterois dubius,"Vaillant, 1888",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126342
1,Neoscopelidae,267,Neoscopelus macrolepidotus,"Johnson, 1863",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126634
1,Stomiidae,268,Borostomias antarcticus,"(L÷nnberg, 1905)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127334
1,Alepocephalidae,269,Bathytroctes microlepis,"G³nther, 1878",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126693
1,Alepocephalidae,270,Leptoderma macrops,"Vaillant, 1886",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126703
1,Macrouridae,271,Gadomus dispar,"(Vaillant, 1888)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126470
1,Nettastomatidae,272,Nettastoma melanurum,"Rafinesque, 1810",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126308
1,Myctophidae,273,Ceratoscopelus maderensis,"(Lowe, 1839)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126585
1,Rajidae,299,Neoraja caerulea,"(Stehmann, 1976)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,105879
1,Scophthalmidae,300,Lepidorhombus,,Gallos,Megrim,0.004604,3.080000,0.00,0.00,0.00,1,1,8857032300,5,126122
1,Paralepididae,301,Arctozenus risso,"(Bonaparte, 1840)",Notolepis,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762070201,11,126352
,SCOPHTHALMIDAE,333,TOTAL GALLOS,,Gallos,Megrims,0.000000,0.000000,0.00,0.00,0.00,1,1,,5,126122
1,Lophiidae,400,Lophius,,Rapes,Monk,0.016500,2.910000,0.00,0.00,0.00,1,1,8786010100,4,125802
1,SCOPHTHALMIDAE,420,Lepidorhombus boscii (clase 0),,Gallo boscii 0 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032301,5,127145
1,SCOPHTHALMIDAE,421,Lepidorhombus boscii (clase 1),,Gallo boscii 1 año,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032301,5,127145
1,SCOPHTHALMIDAE,422,Lepidorhombus boscii (clase 2+),,Gallo boscii 2+ años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032301,5,127145
1,SCOPHTHALMIDAE,430,Lepidorhombus whiffiagonis (clase 0,,Gallo whiff. 0 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032302,5,127146
1,SCOPHTHALMIDAE,431,Lepidorhombus whiffiagonis (clase 1,,Gallo whif. 1 año,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032302,5,127146
1,SCOPHTHALMIDAE,432,Lepidorhombus whiffiagonis clase 2+,,Gallo whif. 2+ años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8857032302,5,127146
1,LOPHIIDAE,440,Lophius budegassa (clase 0),,Rape negro 0 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8786010104,4,126554
1,LOPHIIDAE,441,Lophius budegassa (clase 1+),,Rape negro 1+ años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8786010104,4,126554
1,LOPHIIDAE,444,TOTAL RAPES,,Rapes,,0.000000,0.000000,0.00,0.00,0.00,1,1,,4,125802
1,LOPHIIDAE,450,Lophius piscatorius (clase 0),,Rape blanco 0 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8786010103,4,126555
1,LOPHIIDAE,451,Lophius piscatorius (clase 1+),,Rape blanco 1+ años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8786010103,4,126555
1,Lotidae,500,Molva,,Marucas,Ling,0.000000,0.000000,0.00,0.00,0.00,1,1,8791031900,6,125744
1,MERLUCCIIDAE,501,Merluccius merluccius (clase 0),,Carioca,European hake Age 0,0.003700,3.179800,0.00,0.00,0.00,1,1,8791040105,3,126484
1,MERLUCCIIDAE,502,Merluccius merluccius (clase 1),,Merluza de > 1 año,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791040105,2,126484
1,MERLUCCIIDAE,503,Merluccius merluccius (clase 2+),,Merluza > 2 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8791040105,2,126484
1,Polyprionidae,504,Polyprion americanus,"(Bloch & Schneider, 1801)",Cherna,"Wreckfish,Stone bass",0.000000,0.000000,0.00,0.00,0.00,1,0,8835022316,0,126998
1,Rajidae,600,Raja,,Rayas,Skates and Rays,0.000000,0.000000,0.00,0.00,0.00,1,1,8713040100,8,105766
1,Ammodytidae,602,Hyperoplus immaculatus,"(Corbin, 1950)",,,0.000000,0.000000,0.00,0.00,0.00,1,0,,0,126755
1,GADIDAE,666,Gadidae,,Gádidos,Gadoids,0.000000,0.000000,0.00,0.00,0.00,1,1,8791030000,0,125469
1,Scombridae,700,Scomber,,Caballas,Mackerel,0.000000,0.000000,0.00,0.00,0.00,1,1,8850030300,13,126063
1,SCYLIORHINIDAE,791,Scyliorhinus canicula (clase 1),,Pintarroja pequeña,,0.000000,0.000000,0.00,0.00,0.00,1,1,8708010306,7,105814
1,SCYLIORHINIDAE,792,Scyliorhinus canicula (clase 2),,Pintarroja grande,,0.000000,0.000000,0.00,0.00,0.00,1,1,8708010306,7,105814
1,Carangidae,800,Trachurus,,Chicharros,Scad,0.013250,2.844000,0.00,0.00,0.00,1,1,8835280100,12,125946
1,SPARIDAE,888,Sparidae,,esparidos,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835430000,0,125564
1,Gadidae,900,Trisopterus,,Fanecas,Bib,0.000000,0.000000,0.00,0.00,0.00,1,1,8791031700,11,125739
1,Soleidae,901,Solea,,Lenguados,Sole,0.000000,0.000000,0.00,0.00,0.00,1,1,8858010600,9,126132
1,Scorpaenidae,902,Scorpaena,,Cabrachos,,0.000000,0.000000,0.00,0.00,0.00,1,1,8826010600,9,126171
1,Sternoptychidae,903,Argyropelecus,,Hacha de plata,Hatchet fish,0.016000,3.000000,0.00,0.00,0.00,1,1,8759020100,11,126196
1,CARANGIDAE,905,Trachurus trachurus (clase 0),,Jurel 0 años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835280103,12,126822
1,CARANGIDAE,906,Trachurus trachurus (clase 1),,Jurel 1 año,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835280103,12,126822
1,CARANGIDAE,907,Trachurus trachurus (clase 2+),,Jurel 2+ años,,0.000000,0.000000,0.00,0.00,0.00,1,1,8835280103,12,126822
1,Zoarcidae,908,Melanostigma atlanticum,"Koefoed, 1952",Melanostigma,,0.000000,0.000000,0.00,0.00,0.00,1,1,8793010902,11,127120
1,Syngnathidae,909,Hippocampus hippocampus,"(Linnaeus, 1758)",Caballito de mar,,0.000000,0.000000,0.00,0.00,0.00,1,1,8820020209,9,127380
1,Syngnathidae,910,Syngnathus typhle,"Linnaeus, 1758",Aguja mula,Snouted pipefish,0.000000,0.000000,0.00,0.00,0.00,1,1,8820020123,9,127393
1,Myctophidae,911,Diaphus dumerilii,"(Bleeker, 1856)",Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762140206,11,126590
1,MACROURIDAE,912,MACROURIDAE,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,8794010000,6,125471
1,Melanonidae,913,Melanonus zugmayeri,"Norman, 1930",pez negro raro,rare black fish,0.000000,0.000000,0.00,0.00,0.00,1,1,8791031401,6,126483
1,Myctophidae,914,Lampanyctus intricarius,"TÕning, 1928",Pez linterna,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762140316,11,126615
1,Syngnathidae,915,Syngnathus acus,"Linnaeus, 1758",Mula,Great pipefish,0.000000,0.000000,0.00,0.00,0.00,1,1,8820020120,9,127387
1,Cynoglossidae,917,Symphurus nigrescens,"Rafinesque, 1810",A saber,Tonguesole,0.004300,3.199100,0.00,0.00,0.00,1,1,,0,127134
1,TRIGLIDAE,998,Triglidae,,Cucos,,0.000000,0.000000,0.00,0.00,0.00,1,1,8826020000,0,125598
1,Pentanchidae,302,Galeus atlanticus,"(Vaillant, 1888)",,,0.002400,3.060000,0.00,0.00,0.00,1,1,,0,105811
1,Nettastomatidae,381,Facciolella oxyrhyncha,"(Bellotti, 1883)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126307
1,Squalidae,274,Squalus blainville,"(Risso, 1827)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,105924
1,Sparidae,275,Oblada melanura,"(Linnaeus, 1758)",Oblada,Saddled seabream,0.000000,0.000000,0.00,0.00,0.00,1,0,,0,127056
1,SCOMBRIDAE,303,Auxis rochei rochei,"(Risso, 1810)",Melva,Bullet tuna,0.010100,3.130000,0.00,0.00,0.00,1,0,,0,236487
1,Pentanchidae,304,Galeus murinus,"(Collett, 1904)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8708010204,0,105813
1,Rajidae,305,Leucoraja fullonica,"(Linnaeus, 1758)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,105874
1,Chiasmodontidae,306,Chiasmodon,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,88401601,0,125956
1,Rajidae,307,Dipturus nidarosiensis,"(Storm, 1881)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,105871
1,LOTIDAE,308,Brosme brosme,"(Ascanius, 1772)",,,0.013300,3.000000,0.00,0.00,0.00,1,1,8791031101,0,126447
1,PLEURONECTIDAE,309,Limanda limanda,"(Linnaeus, 1758)",,,0.008500,3.091000,0.00,0.00,0.00,1,1,8857040904,0,127139
1,Trachipteridae,310,Trachipterus arcticus,"(Br³nnich, 1788)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8815020102,0,126527
1,Stomiidae,311,Melanostomias bartonbeani,"Parr, 1927",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127359
1,Somniosidae,312,Somniosus microcephalus,"(Bloch & Schneider, 1801)",,Greenland shark,0.011400,3.000000,0.00,0.00,0.00,1,1,,0,105919
1,Stomiidae,313,Chirostomias pliopterus,"Regan & Trewavas, 1930",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,127339
1,Stomiidae,314,Echiostoma barbatum,"Lowe, 1843",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8759070101,0,127340
1,Trachichthyidae,315,Hoplostethus cadenati,"QuÚro, 1974",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126403
1,Regalecidae,316,Regalecus glesne,"Ascanius, 1772",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126525
1,Sternoptychidae,276,Argyropelecus aculeatus,,,,0.016000,3.000000,0.00,0.00,0.00,1,1,,0,127306
1,Neoscopelidae,317,Neoscopelus microchir,"Matsubara, 1943",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8762150102,0,126635
1,,318,Paraliparis,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,88310911,0,126161
1,Pleuronectidae,319,Pleuronectes platessa,"Linnaeus, 1758",,,0.005300,3.225000,0.00,0.00,0.00,1,1,8857041502,0,127143
1,Platytroctidae,320,Searsia koefoedi,"Parr, 1937",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126749
1,Melamphaidae,321,Poromitra capito,"Goode & Bean, 1883",,,0.000000,0.000000,0.00,0.00,0.00,1,1,8808020202,0,127272
1,Moridae,322,Guttigadus latifrons,"(Holt & Byrne, 1908)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,158978
1,Microstomatidae,323,Nansenia,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,87560101,0,125893
1,Myctophidae,277,Lobianchia gemellarii,"(Cocco, 1838)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,158901
1,Platytroctidae,324,Sagamichthys schnakenbecki,"(Krefft, 1953)",,,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,126748
1,Myctophidae,325,Notoscopelus,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,87621404,0,125831
1,Gobiesocidae,326,Lepadogaster candolii,"Risso, 1810",cabot chulador,Connemarra clingfish,0.000000,0.000000,0.00,0.00,0.00,1,1,,0,272526
1,Lotidae,327,Gaidropsarus,,,,0.000000,0.000000,0.00,0.00,0.00,1,1,87910320,0,125743
